match_id,team1,team2,winner,toss_winner,toss_decision,venue,date,source,league_id,city,gender
211048,New Zealand,Australia,Australia,Australia,bat,Eden Park,2005-02-17,t20i,1,Auckland,male
211028,England,Australia,England,England,bat,The Rose Bowl,2005-06-13,t20i,1,Southampton,male
222678,South Africa,New Zealand,New Zealand,New Zealand,field,New Wanderers Stadium,2005-10-21,t20i,1,Johannesburg,male
226374,Australia,South Africa,Australia,Australia,bat,"Brisbane Cricket Ground, Woolloongabba",2006-01-09,t20i,1,Brisbane,male
237242,New Zealand,West Indies,,New Zealand,field,Eden Park,2006-02-16,t20i,1,Auckland,male
238195,South Africa,Australia,South Africa,South Africa,bat,New Wanderers Stadium,2006-02-24,t20i,1,Johannesburg,male
225271,England,Sri Lanka,Sri Lanka,Sri Lanka,bat,The Rose Bowl,2006-06-15,t20i,1,Southampton,male
225263,England,Pakistan,Pakistan,England,bat,County Ground,2006-08-28,t20i,1,Bristol,male
255954,South Africa,India,India,South Africa,bat,New Wanderers Stadium,2006-12-01,t20i,1,Johannesburg,male
251487,New Zealand,Sri Lanka,Sri Lanka,New Zealand,bat,Westpac Stadium,2006-12-22,t20i,1,Wellington,male
251488,New Zealand,Sri Lanka,New Zealand,New Zealand,field,Eden Park,2006-12-26,t20i,1,Auckland,male
249227,Australia,England,Australia,Australia,bat,Sydney Cricket Ground,2007-01-09,t20i,1,,male
258463,England,West Indies,West Indies,West Indies,bat,Kennington Oval,2007-06-28,t20i,1,London,male
258464,England,West Indies,England,West Indies,bat,Kennington Oval,2007-06-29,t20i,1,London,male
306987,Kenya,Bangladesh,Bangladesh,Bangladesh,field,Gymkhana Club Ground,2007-09-01,t20i,1,Nairobi,male
306989,Bangladesh,Pakistan,Pakistan,Bangladesh,field,Gymkhana Club Ground,2007-09-02,t20i,1,Nairobi,male
306991,Kenya,Pakistan,Pakistan,Kenya,bat,Gymkhana Club Ground,2007-09-04,t20i,1,Nairobi,male
287853,South Africa,West Indies,South Africa,South Africa,field,New Wanderers Stadium,2007-09-11,t20i,1,Johannesburg,male
287856,Australia,Zimbabwe,Zimbabwe,Australia,bat,Newlands,2007-09-12,t20i,1,Cape Town,male
287854,Kenya,New Zealand,New Zealand,New Zealand,field,Kingsmead,2007-09-12,t20i,1,Durban,male
287855,Pakistan,Scotland,Pakistan,Scotland,field,Kingsmead,2007-09-12,t20i,1,Durban,male
287857,Bangladesh,West Indies,Bangladesh,Bangladesh,field,New Wanderers Stadium,2007-09-13,t20i,1,Johannesburg,male
287858,England,Zimbabwe,England,England,bat,Newlands,2007-09-13,t20i,1,Cape Town,male
287862,India,Pakistan,,Pakistan,field,Kingsmead,2007-09-14,t20i,1,Durban,male
287860,Kenya,Sri Lanka,Sri Lanka,Kenya,field,New Wanderers Stadium,2007-09-14,t20i,1,Johannesburg,male
287861,Australia,England,Australia,England,bat,Newlands,2007-09-14,t20i,1,Cape Town,male
287863,New Zealand,Sri Lanka,Sri Lanka,New Zealand,bat,New Wanderers Stadium,2007-09-15,t20i,1,Johannesburg,male
287864,South Africa,Bangladesh,South Africa,South Africa,field,Newlands,2007-09-15,t20i,1,Cape Town,male
287867,South Africa,England,South Africa,England,field,Newlands,2007-09-16,t20i,1,Cape Town,male
287865,India,New Zealand,New Zealand,India,field,New Wanderers Stadium,2007-09-16,t20i,1,Johannesburg,male
287866,Australia,Bangladesh,Australia,Australia,field,Newlands,2007-09-16,t20i,1,Cape Town,male
287868,Pakistan,Sri Lanka,Pakistan,Sri Lanka,field,New Wanderers Stadium,2007-09-17,t20i,1,Johannesburg,male
287870,Australia,Pakistan,Pakistan,Pakistan,field,New Wanderers Stadium,2007-09-18,t20i,1,Johannesburg,male
287871,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,field,New Wanderers Stadium,2007-09-18,t20i,1,Johannesburg,male
287869,England,New Zealand,New Zealand,England,field,Kingsmead,2007-09-18,t20i,1,Durban,male
287872,South Africa,New Zealand,South Africa,South Africa,field,Kingsmead,2007-09-19,t20i,1,Durban,male
287873,England,India,India,India,bat,Kingsmead,2007-09-19,t20i,1,Durban,male
287876,South Africa,India,India,India,bat,Kingsmead,2007-09-20,t20i,1,Durban,male
287875,Bangladesh,Pakistan,Pakistan,Pakistan,field,Newlands,2007-09-20,t20i,1,Cape Town,male
287874,Australia,Sri Lanka,Australia,Australia,field,Newlands,2007-09-20,t20i,1,Cape Town,male
287877,New Zealand,Pakistan,Pakistan,New Zealand,bat,Newlands,2007-09-22,t20i,1,Cape Town,male
287878,Australia,India,India,India,bat,Kingsmead,2007-09-22,t20i,1,Durban,male
287879,India,Pakistan,India,India,bat,New Wanderers Stadium,2007-09-24,t20i,1,Johannesburg,male
297800,India,Australia,India,Australia,bat,Brabourne Stadium,2007-10-20,t20i,1,Mumbai,male
298795,South Africa,New Zealand,South Africa,South Africa,field,New Wanderers Stadium,2007-11-23,t20i,1,Johannesburg,male
291343,Australia,New Zealand,Australia,Australia,bat,Western Australia Cricket Association Ground,2007-12-11,t20i,1,Perth,male
319112,South Africa,West Indies,West Indies,West Indies,field,St George's Park,2007-12-16,t20i,1,Port Elizabeth,male
298804,South Africa,West Indies,South Africa,South Africa,field,New Wanderers Stadium,2008-01-18,t20i,1,Johannesburg,male
291356,Australia,India,Australia,India,bat,Melbourne Cricket Ground,2008-02-01,t20i,1,,male
300435,New Zealand,England,England,New Zealand,field,Eden Park,2008-02-05,t20i,1,Auckland,male
300436,New Zealand,England,England,England,bat,Jade Stadium,2008-02-07,t20i,1,Christchurch,male
335982,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,2008-04-18,ipl,0,,
335984,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Feroz Shah Kotla,2008-04-19,ipl,0,,
335983,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",2008-04-19,ipl,0,,
343764,Pakistan,Bangladesh,Pakistan,Pakistan,bat,National Stadium,2008-04-20,t20i,1,Karachi,male
335985,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,2008-04-20,ipl,0,,
