match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1023581,Sydney Thunder,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,Sydney Showground Stadium,,2016-12-20,male
1023583,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Adelaide Strikers,field,Adelaide Oval,,2016-12-21,male
1023585,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,Sydney Thunder,field,Docklands Stadium,Melbourne,2016-12-22,male
1023587,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,Sydney Sixers,field,Sydney Cricket Ground,,2016-12-23,male
1023589,Perth Scorchers,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,field,Western Australia Cricket Association Ground,Perth,2016-12-23,male
1023591,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,bat,Bellerive Oval,Hobart,2016-12-26,male
1023593,Sydney Sixers,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Sydney Cricket Ground,,2016-12-27,male
1023595,Sydney Thunder,Brisbane Heat,Brisbane Heat,Brisbane Heat,field,Sydney Showground Stadium,,2016-12-28,male
1023597,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Docklands Stadium,Melbourne,2016-12-29,male
1023599,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2016-12-30,male
1023601,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,Sydney Sixers,field,Adelaide Oval,,2016-12-31,male
1023603,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Melbourne Stars,field,Melbourne Cricket Ground,,2017-01-01,male
1023605,Perth Scorchers,Sydney Thunder,Perth Scorchers,Sydney Thunder,field,Western Australia Cricket Association Ground,Perth,2017-01-01,male
1023607,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,field,Bellerive Oval,Hobart,2017-01-02,male
1023609,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-03,male
1023611,Sydney Thunder,Melbourne Stars,Sydney Thunder,Sydney Thunder,field,Sydney Showground Stadium,,2017-01-04,male
1023613,Perth Scorchers,Brisbane Heat,Brisbane Heat,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2017-01-05,male
1023615,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Oval,,2017-01-06,male
1023617,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Melbourne Renegades,field,Docklands Stadium,Melbourne,2017-01-07,male
1023619,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,Sydney Thunder,field,Bellerive Oval,Hobart,2017-01-08,male
1023621,Sydney Sixers,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,bat,Sydney Cricket Ground,,2017-01-09,male
1023623,Melbourne Stars,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Melbourne Cricket Ground,,2017-01-10,male
1023625,Brisbane Heat,Perth Scorchers,Perth Scorchers,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-11,male
1023627,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,Docklands Stadium,Melbourne,2017-01-12,male
1023629,Sydney Sixers,Sydney Thunder,Sydney Thunder,Sydney Sixers,bat,Sydney Cricket Ground,,2017-01-14,male
1023631,Perth Scorchers,Melbourne Stars,Melbourne Stars,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2017-01-14,male
1023633,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Adelaide Strikers,field,Adelaide Oval,,2017-01-16,male
1023635,Melbourne Stars,Brisbane Heat,Brisbane Heat,Melbourne Stars,bat,Melbourne Cricket Ground,,2017-01-17,male
1023637,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,Sydney Thunder,field,Sydney Showground Stadium,,2017-01-18,male
1023639,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,Brisbane Heat,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-20,male
1023641,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Bellerive Oval,Hobart,2017-01-21,male
1023643,Melbourne Stars,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,Melbourne Cricket Ground,,2017-01-21,male
1023645,Perth Scorchers,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Western Australia Cricket Association Ground,Perth,2017-01-24,male
1023647,Brisbane Heat,Sydney Sixers,,Sydney Sixers,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-01-25,male
1023649,Perth Scorchers,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Western Australia Cricket Association Ground,Perth,2017-01-28,male
1114856,Sydney Thunder,Sydney Sixers,Sydney Thunder,Sydney Thunder,field,Sydney Showground Stadium,Sydney,2017-12-19,male
1114857,Brisbane Heat,Melbourne Stars,Brisbane Heat,Melbourne Stars,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-12-20,male
1114858,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,field,Bellerive Oval,Hobart,2017-12-21,male
1114859,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Oval,Adelaide,2017-12-22,male
1114860,Sydney Sixers,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Sydney Cricket Ground,Sydney,2017-12-23,male
1114861,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,field,Docklands Stadium,Melbourne,2017-12-23,male
1114862,Perth Scorchers,Melbourne Stars,Perth Scorchers,Melbourne Stars,field,W.A.C.A. Ground,Perth,2017-12-26,male
1114863,Brisbane Heat,Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-12-27,male
1114864,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,Sydney Sixers,field,Sydney Cricket Ground,Sydney,2017-12-28,male
1114865,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Docklands Stadium,Melbourne,2017-12-29,male
1114866,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,Hobart Hurricanes,field,Aurora Stadium,Launceston,2017-12-30,male
1114867,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,bat,Adelaide Oval,Adelaide,2017-12-31,male
1114868,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,Sydney Thunder,field,Sydney Showground Stadium,Sydney,2018-01-01,male
