match_id,team1,team2,winner,toss_winner,toss_decision,venue,date
598067,Pune Warriors,Delhi Daredevils,Pune Warriors,Pune Warriors,bat,Subrata Roy Sahara Stadium,2013-05-19
829725,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,bat,Maharashtra Cricket Association Stadium,2015-04-15
501255,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,2011-05-14
1082637,Kings XI Punjab,Gujarat Lions,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali",2017-05-07
419157,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,2010-04-17
980943,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,Rising Pune Supergiants,field,"Rajiv Gandhi International Stadium, Uppal",2016-04-26
1426283,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad",2024-04-28
1216507,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,2020-10-11
548328,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",2012-04-18
598030,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,"MA Chidambaram Stadium, Chepauk",2013-04-25
501202,Pune Warriors,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Dr DY Patil Sports Academy,2011-04-10
1178422,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Eden Gardens,2019-04-28
335984,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Feroz Shah Kotla,2008-04-19
1304064,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Maharashtra Cricket Association Stadium, Pune",2022-04-09
734017,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",2014-05-19
598026,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",2013-04-22
1216511,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Sheikh Zayed Stadium,2020-10-06
501214,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,2011-04-17
419116,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,bat,Feroz Shah Kotla,2010-03-19
1181768,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Rajiv Gandhi International Stadium,2019-05-12
335992,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,2008-04-26
1304072,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,"Brabourne Stadium, Mumbai",2022-04-16
734001,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",2014-05-12
829733,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,2015-04-18
1216546,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,Delhi Capitals,bat,Dubai International Cricket Stadium,2020-10-20
548369,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Feroz Shah Kotla,2012-05-15
598071,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Feroz Shah Kotla,2013-05-22
419141,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",2010-04-05
1082621,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Gujarat Lions,field,M Chinnaswamy Stadium,2017-04-27
336039,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Wankhede Stadium,2008-05-31
501243,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,field,"Rajiv Gandhi International Stadium, Uppal",2011-05-05
1254109,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,2021-10-03
1426295,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-08
980955,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,Gujarat Lions,field,Saurashtra Cricket Association Stadium,2016-05-01
1136561,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,2018-04-07
1473471,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Punjab Kings,field,"M Chinnaswamy Stadium, Bengaluru",2025-04-18
501238,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Feroz Shah Kotla,2011-05-02
548312,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Sawai Mansingh Stadium,2012-04-08
1216497,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Sheikh Zayed Stadium,2020-10-24
1178418,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,2019-04-25
336015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,2008-05-11
548345,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,Feroz Shah Kotla,2012-04-29
392220,Deccan Chargers,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,De Beers Diamond Oval,2009-05-11
1254060,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-11
1359530,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,"Eden Gardens, Kolkata",2023-05-11
