player_name,cricsheet_id,batting_hand,bowling_style_raw,bowling_group,role
A Aravinddaraj,21d38d47,RHB,right-arm medium,pace,
A Ashish Reddy,1c2a64cd,RHB,right-arm medium,pace,allrounder
A Ashok,321be7e3,RHB,legbreak googly,spin,bowler
A Athanaze,58c2fac4,LHB,right-arm offbreak,spin,batsman
A Awasthi,fa62a463,RHB,none,none,
A Ayre,a09eb585,LHB,none,none,
A Badoni,872b03f7,RHB,right-arm offbreak,spin,batsman
A Balbirnie,6ef13460,RHB,right-arm offbreak,spin,batsman
A Bharwad,3cc96a05,RHB,none,none,wk_batsman
A Bohara,64fb6b15,RHB,right-arm medium,pace,bowler
A Busing-Volschenk,e9e37173,RHB,right-arm medium,pace,allrounder
A Chandila,99b202b3,RHB,right-arm offbreak,spin,allrounder
A Chopra,e249fdaa,RHB,right-arm medium,pace,batsman
A Choudhary,18e6906e,RHB,left-arm medium,pace,bowler
A Dananjaya,5b16a806,LHB,right-arm offbreak,spin,allrounder
A Dutt,803dbf1d,RHB,right-arm offbreak,spin,bowler
A Flintoff,ddc0828d,RHB,right-arm fast-medium,pace,allrounder
A G Pradeep,d5eed764,RHB,right-arm offbreak,spin,
A Gqamane,a83c44b8,RHB,right-arm fast-medium,pace,allrounder
A Johnson,a28a7fba,RHB,right-arm offbreak,spin,batsman
A Kamboj,fcc21ace,RHB,right-arm medium,pace,bowler
A Karn,357f5314,RHB,left-arm medium,pace,bowler
A Khan,e27cff77,RHB,right-arm fast-medium,pace,bowler
A Kumble,0c2730df,RHB,legbreak googly,spin,bowler
A Lyth,70b8fd28,LHB,right-arm offbreak,spin,batsman
A Manohar,0890552f,RHB,legbreak googly,spin,allrounder
A Martin,3cacbb57,RHB,legbreak,spin,bowler
A Mhatre,b2b4f545,RHB,right-arm offbreak,spin,allrounder
A Mishra,6b19d823,RHB,legbreak,spin,bowler
A Mithun,66cf56a5,RHB,right-arm medium,pace,bowler
A Mukund,6165bca6,LHB,legbreak googly,spin,batsman
A Nagwaswalla,01ada0ed,RHB,left-arm medium,pace,bowler
A Nao,4d1ec7eb,RHB,right-arm medium,pace,bowler
A Ndlovu,3abe1ef6,RHB,slow left-arm orthodox,spin,bowler
A Nehra,96fd40ae,RHB,left-arm medium-fast,pace,bowler
A Neill,4957b300,RHB,right-arm medium,pace,bowler
A Nel,2503e881,RHB,right-arm fast-medium,pace,bowler
A Nortje,acdc62f5,RHB,right-arm fast,pace,bowler
A Palkar,c4ab5dd8,RHB,right-arm medium,pace,
A Panwar,3ae26eeb,RHB,right-arm medium-fast,pace,
A Poulose,b481216d,RHB,right-arm medium,pace,
A Prateek Reddy,22850fa3,LHB,none,none,
A Pratyush Kumar,1b5c4924,RHB,right-arm medium,pace,
A Raghuvanshi,d7017798,RHB,slow left-arm orthodox,spin,batsman
A Shahzad,a73321d3,RHB,right-arm fast-medium,pace,bowler
A Sharafu,06cad4f0,RHB,right-arm medium,pace,batsman
A Sharma,a3ead8da,RHB,right-arm medium-fast,pace,
A Sheth,4312e8f9,RHB,right-arm medium,pace,allrounder
A Shukla,a1e80d06,RHB,right-arm medium,pace,bowler
A Simelane,ebb74564,RHB,right-arm fast,pace,allrounder
A Singh,5b040b81,RHB,right-arm medium-fast,pace,bowler
A Singhania,791a65ce,RHB,slow left-arm orthodox,spin,
A Symonds,bd77eb62,RHB,right-arm medium,pace,allrounder
A Thapa,b66a5046,LHB,slow left-arm orthodox,spin,
A Tomar,aa5d8c9e,RHB,right-arm offbreak,spin,batsman
A Uniyal,fdcb08c2,LHB,left-arm medium,pace,
A Vala,72e60730,LHB,right-arm offbreak,spin,batsman
A Zampa,14f96089,RHB,legbreak googly,spin,bowler
AA Bamal,6a58e069,LHB,slow left-arm orthodox,spin,allrounder
AA Barot,b690f34a,RHB,right-arm offbreak,spin,
AA Bilakhia,bff458c6,RHB,right-arm medium,pace,
AA Chakraborty,44e58b5b,RHB,slow left-arm orthodox,spin,
AA Chavan,29d72eb2,LHB,slow left-arm orthodox,spin,batsman
AA Choudhury,b2c38dce,RHB,slow left-arm orthodox,spin,
AA Herwadkar,4ed49d3d,LHB,right-arm offbreak,spin,batsman
AA Jangoo,88626ed2,LHB,none,none,wk_batsman
AA Jhunjhunwala,2815fe50,RHB,right-arm offbreak,spin,batsman
AA Kargave,d912dd58,LHB,right-arm offbreak,spin,
AA Kazi,16605a1b,LHB,slow left-arm orthodox,spin,bowler
AA Kulkarni,2d140b79,RHB,right-arm medium,pace,allrounder
AA Noffke,b69e69ed,RHB,right-arm fast-medium,pace,allrounder
AA Obanda,7081491e,RHB,right-arm medium-fast,pace,batsman
AA Sanklecha,90a5e58a,LHB,right-arm medium-fast,pace,
AA Sarwate,8996a9a0,RHB,slow left-arm orthodox,spin,allrounder
AAP Atkinson,70d57519,RHB,right-arm fast-medium,pace,bowler
AB Agarkar,fa463154,RHB,right-arm fast,pace,bowler
AB Barath,d3a3e82d,RHB,right-arm offbreak,spin,batsman
AB Bhadoriya,1760e2c7,RHB,slow left-arm orthodox,spin,
AB Dinda,66b30f71,RHB,right-arm medium-fast,pace,bowler
AB McDonald,16043342,RHB,right-arm fast-medium,pace,allrounder
AB de Villiers,c4487b84,RHB,right-arm medium,pace,wk_batsman
ABB Sangma,57c81c1f,LHB,right-arm medium-fast,pace,
AC Agar,a2421394,LHB,slow left-arm orthodox,spin,bowler
AC Blizzard,1efb8a28,LHB,left-arm medium,pace,batsman
AC Botha,d8e79af0,LHB,right-arm medium,pace,allrounder
AC Evans,e9a870ed,RHB,right-arm medium-fast,pace,bowler
AC Gilchrist,2b6e6dec,LHB,right-arm offbreak,spin,wk_batsman
AC McDermott,956887b2,RHB,right-arm fast-medium,pace,bowler
AC Thomas,b552a935,RHB,right-arm fast-medium,pace,bowler
AC Voges,864c199e,RHB,slow left-arm orthodox,spin,batsman
ACL Richards,a3d329d7,LHB,right-arm medium,pace,batsman
AD Chopra,40737b8d,LHB,right-arm offbreak,spin,batsman
AD Hales,92aeac25,RHB,right-arm medium,pace,batsman
AD Mascarenhas,3edb58fc,RHB,right-arm fast-medium,pace,allrounder
AD Mathews,896d78ad,RHB,right-arm medium,pace,allrounder
AD Nath,f10e94c4,RHB,right-arm medium-fast,pace,batsman
AD Poynter,b98cdbf0,RHB,right-arm offbreak,spin,batsman
AD Russell,bbd41817,RHB,right-arm fast,pace,allrounder
ADS Fletcher,1bae756b,RHB,right-arm medium-fast,pace,batsman
AF Buurman,03d3dd8e,RHB,none,none,wk_batsman
AF Milne,350bb1b1,RHB,right-arm fast,pace,bowler
AG Cremer,9f0270e0,RHB,legbreak googly,spin,bowler
AG Jungade,1d44cade,RHB,right-arm medium,pace,
AG Murtaza,ef5da05c,LHB,slow left-arm orthodox,spin,bowler
AG Paunikar,3a02626a,RHB,none,none,wk_batsman
AG Prince,035cb925,LHB,right-arm offbreak,spin,batsman
AG Rao,0420f51f,RHB,right-arm offbreak,spin,
AG Sehrawat,1bd8d47d,RHB,none,none,
AGS Gous,d1305df0,RHB,none,none,wk_batsman
AH Hooda,e4072aa1,RHB,right-arm medium,pace,bowler
AH Passi,21fde4d1,RHB,none,none,
AI Ross,fb0d68b4,RHB,right-arm offbreak,spin,batsman
AJ Crosthwaite,0c8836b6,RHB,legbreak googly,spin,batsman
AJ Doolan,36eafb02,RHB,none,none,batsman
AJ Finch,b8d490fd,RHB,slow left-arm orthodox,spin,batsman
AJ Hall,6b0c3a20,RHB,right-arm fast-medium,pace,allrounder
AJ Hose,104e88a4,RHB,right-arm medium-fast,pace,batsman
AJ Hosein,4d7f517e,LHB,slow left-arm orthodox,spin,bowler
AJ Kaushik,16d029ec,RHB,none,none,
AJ McKay,de3acffe,RHB,left-arm fast-medium,pace,bowler
AJ Mosca,19c56e6e,RHB,none,none,batsman
AJ Nair,4ba2c04d,RHB,right-arm offbreak,spin,bowler
AJ Redmond,48f177f5,RHB,legbreak,spin,batsman
AJ Staal,62c713bf,RHB,legbreak googly,spin,batsman
AJ Strauss,b68d14a9,LHB,left-arm medium,pace,batsman
AJ Turner,ff1e12a0,RHB,right-arm offbreak,spin,batsman
