match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1075986,Islamabad United,Peshawar Zalmi,Islamabad United,Islamabad United,field,Dubai International Cricket Stadium,,2017-02-09,male
1075987,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,Lahore Qalandars,field,Dubai International Cricket Stadium,,2017-02-10,male
1075988,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,field,Dubai International Cricket Stadium,,2017-02-10,male
1075989,Islamabad United,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,field,Dubai International Cricket Stadium,,2017-02-11,male
1075990,Karachi Kings,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,field,Dubai International Cricket Stadium,,2017-02-11,male
1075991,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,field,Dubai International Cricket Stadium,,2017-02-12,male
1075992,Islamabad United,Quetta Gladiators,Islamabad United,Islamabad United,field,Sharjah Cricket Stadium,,2017-02-15,male
1075993,Karachi Kings,Lahore Qalandars,Lahore Qalandars,Karachi Kings,field,Sharjah Cricket Stadium,,2017-02-16,male
1075994,Peshawar Zalmi,Quetta Gladiators,,Quetta Gladiators,field,Sharjah Cricket Stadium,,2017-02-17,male
1075995,Islamabad United,Karachi Kings,Karachi Kings,Karachi Kings,field,Sharjah Cricket Stadium,,2017-02-17,male
1075996,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,field,Sharjah Cricket Stadium,,2017-02-18,male
1075997,Islamabad United,Peshawar Zalmi,Islamabad United,Islamabad United,field,Sharjah Cricket Stadium,,2017-02-18,male
1075998,Karachi Kings,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,field,Sharjah Cricket Stadium,,2017-02-19,male
1075999,Islamabad United,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,field,Sharjah Cricket Stadium,,2017-02-20,male
1076000,Karachi Kings,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,field,Dubai International Cricket Stadium,,2017-02-23,male
1076001,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,bat,Dubai International Cricket Stadium,,2017-02-24,male
1076002,Islamabad United,Quetta Gladiators,Islamabad United,Quetta Gladiators,field,Dubai International Cricket Stadium,,2017-02-24,male
1076003,Karachi Kings,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Dubai International Cricket Stadium,,2017-02-25,male
1076004,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Dubai International Cricket Stadium,,2017-02-25,male
1076005,Islamabad United,Karachi Kings,Karachi Kings,Karachi Kings,field,Dubai International Cricket Stadium,,2017-02-26,male
1076006,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Sharjah Cricket Stadium,Sharjah,2017-02-28,male
1076007,Karachi Kings,Islamabad United,Karachi Kings,Islamabad United,field,Sharjah Cricket Stadium,Sharjah,2017-03-01,male
1076008,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Dubai International Cricket Stadium,Dubai,2017-03-03,male
1076009,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Gaddafi Stadium,Lahore,2017-03-05,male
1128818,Peshawar Zalmi,Multan Sultans,Multan Sultans,Multan Sultans,field,Dubai International Cricket Stadium,Dubai,2018-02-22,male
1128819,Karachi Kings,Quetta Gladiators,Karachi Kings,Karachi Kings,bat,Dubai International Cricket Stadium,Dubai,2018-02-23,male
1128820,Multan Sultans,Lahore Qalandars,Multan Sultans,Lahore Qalandars,field,Dubai International Cricket Stadium,Dubai,2018-02-23,male
1128821,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,Islamabad United,field,Dubai International Cricket Stadium,Dubai,2018-02-24,male
1128822,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Dubai International Cricket Stadium,Dubai,2018-02-24,male
