match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1343941,Paarl Royals,MI Cape Town,MI Cape Town,MI Cape Town,field,"Newlands, Cape Town",Cape Town,2023-01-10,male
1343942,Joburg Super Kings,Durban's Super Giants,Joburg Super Kings,Joburg Super Kings,bat,"Kingsmead, Durban",Durban,2023-01-11,male
1343943,Pretoria Capitals,Sunrisers Eastern Cape,Pretoria Capitals,Sunrisers Eastern Cape,field,"St George's Park, Gqeberha",Gqeberha,2023-01-12,male
1343944,Joburg Super Kings,Paarl Royals,Paarl Royals,Joburg Super Kings,bat,"Boland Park, Paarl",Paarl,2023-01-13,male
1343945,MI Cape Town,Durban's Super Giants,Durban's Super Giants,Durban's Super Giants,field,"Newlands, Cape Town",Cape Town,2023-01-13,male
1343946,Pretoria Capitals,Sunrisers Eastern Cape,Pretoria Capitals,Sunrisers Eastern Cape,field,"SuperSport Park, Centurion",Centurion,2023-01-14,male
1343947,Joburg Super Kings,MI Cape Town,MI Cape Town,MI Cape Town,field,"Newlands, Cape Town",Cape Town,2023-01-14,male
1343948,Durban's Super Giants,Paarl Royals,Durban's Super Giants,Durban's Super Giants,bat,"Kingsmead, Durban",Durban,2023-01-15,male
1343949,MI Cape Town,Sunrisers Eastern Cape,Sunrisers Eastern Cape,Sunrisers Eastern Cape,field,"St George's Park, Gqeberha",Gqeberha,2023-01-16,male
1343950,Paarl Royals,Durban's Super Giants,Paarl Royals,Durban's Super Giants,field,"Boland Park, Paarl",Paarl,2023-01-17,male
1343951,Joburg Super Kings,Pretoria Capitals,Joburg Super Kings,Pretoria Capitals,field,"The Wanderers Stadium, Johannesburg",Johannesburg,2023-01-17,male
1343952,MI Cape Town,Sunrisers Eastern Cape,Sunrisers Eastern Cape,Sunrisers Eastern Cape,field,"Newlands, Cape Town",Cape Town,2023-01-18,male
1343953,Joburg Super Kings,Pretoria Capitals,Pretoria Capitals,Pretoria Capitals,field,"SuperSport Park, Centurion",Centurion,2023-01-18,male
1343954,Paarl Royals,Sunrisers Eastern Cape,Sunrisers Eastern Cape,Sunrisers Eastern Cape,field,"Boland Park, Paarl",Paarl,2023-01-19,male
1343955,Durban's Super Giants,Pretoria Capitals,Pretoria Capitals,Durban's Super Giants,bat,"Kingsmead, Durban",Durban,2023-01-20,male
1343956,MI Cape Town,Paarl Royals,MI Cape Town,Paarl Royals,field,"Boland Park, Paarl",Paarl,2023-01-21,male
1343957,Sunrisers Eastern Cape,Joburg Super Kings,Joburg Super Kings,Joburg Super Kings,field,"St George's Park, Gqeberha",Gqeberha,2023-01-21,male
1343958,Pretoria Capitals,Paarl Royals,Paarl Royals,Pretoria Capitals,bat,"Boland Park, Paarl",Paarl,2023-01-22,male
1343959,Sunrisers Eastern Cape,Durban's Super Giants,Sunrisers Eastern Cape,Durban's Super Giants,field,"St George's Park, Gqeberha",Gqeberha,2023-01-22,male
