match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1130661,Baroda,Mumbai,Baroda,Baroda,bat,Saurashtra Cricket Association Stadium,,2018-01-07,male
1130662,Gujarat,Maharashtra,Maharashtra,Maharashtra,field,Saurashtra Cricket Association Stadium,,2018-01-07,male
1130663,Rajasthan,Madhya Pradesh,Rajasthan,Madhya Pradesh,field,Shaheed Veer Narayan Singh International Stadium,,2018-01-08,male
1130664,Himachal,Haryana,,Haryana,field,Arun Jaitley Stadium,,2018-01-08,male
1130665,Karnataka,Goa,Karnataka,Goa,field,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,2018-01-08,male
1130666,Tripura,Assam,Tripura,Assam,field,JSCA International Stadium Complex,,2018-01-08,male
1130667,Saurashtra,Maharashtra,Saurashtra,Saurashtra,bat,Saurashtra Cricket Association Stadium,,2018-01-08,male
1130668,Vidarbha,Chhattisgarh,Vidarbha,Vidarbha,bat,Shaheed Veer Narayan Singh International Stadium,,2018-01-08,male
1130669,Jammu & Kashmir,Services,Services,Jammu & Kashmir,bat,Arun Jaitley Stadium,,2018-01-08,male
1130670,Hyderabad (India),Kerala,Hyderabad (India),Kerala,field,Dr P.V.G. Raju ACA Sports Complex,,2018-01-08,male
1130671,Andhra,Tamil Nadu,Tamil Nadu,Andhra,bat,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,2018-01-08,male
1130672,Odisha,Bengal,Bengal,Odisha,bat,JSCA International Stadium Complex,,2018-01-08,male
1130673,Gujarat,Mumbai,Mumbai,Mumbai,field,Saurashtra Cricket Association Stadium,,2018-01-08,male
1130674,Uttar Pradesh,Rajasthan,Rajasthan,Rajasthan,field,Shaheed Veer Narayan Singh International Stadium,,2018-01-09,male
1130675,Punjab,Delhi,Punjab,Delhi,field,Arun Jaitley Stadium,,2018-01-09,male
1130676,Tamil Nadu,Kerala,Tamil Nadu,Kerala,field,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,2018-01-09,male
1130677,Vidarbha,Railways,Vidarbha,Vidarbha,bat,Shaheed Veer Narayan Singh International Stadium,,2018-01-09,male
1130678,Himachal,Jammu & Kashmir,Himachal,Himachal,bat,Arun Jaitley Stadium,,2018-01-09,male
1130679,Hyderabad (India),Goa,Hyderabad (India),Hyderabad (India),bat,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,,2018-01-09,male
1130680,Karnataka,Andhra,Andhra,Andhra,field,Dr P.V.G. Raju ACA Sports Complex,,2018-01-09,male
