match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1475527,Hong Kong,Malaysia,Hong Kong,Hong Kong,bat,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2025-03-12,male
1359789,Bermuda,Panama,Bermuda,Bermuda,bat,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,2023-02-28,male
1515547,Cambodia,Indonesia,Indonesia,Indonesia,field,Udayana Cricket Ground,Bali,2025-12-27,male
1400974,Nigeria,Sierra Leone,Nigeria,Sierra Leone,field,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,2023-10-05,male
1501504,Eswatini,Mozambique,Eswatini,Eswatini,bat,Malkerns Country Club oval,Malkerns,2025-09-13,male
1273145,Rwanda,Ghana,Ghana,Rwanda,bat,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-08-21,male
1422043,Nepal,Netherlands,Netherlands,Nepal,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2024-03-05,male
1443550,Pakistan,New Zealand,New Zealand,New Zealand,field,"University Oval, Dunedin",Dunedin,2025-03-18,male
1383073,Scotland,Jersey,Scotland,Jersey,field,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,2023-07-21,male
1257949,Netherlands,Malaysia,,Malaysia,field,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2021-04-21,male
1426450,Oman,Namibia,Namibia,Namibia,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2024-04-01,male
1188621,India,West Indies,India,India,field,Central Broward Regional Park Stadium Turf Ground,Lauderhill,2019-08-03,male
1282279,Malta,Switzerland,Malta,Malta,bat,Marsa Sports Club,Marsa,2021-10-24,male
1510179,Bahrain,Indonesia,Bahrain,Indonesia,field,Udayana Cricket Ground,Bali,2025-11-19,male
1344787,Canada,Oman,Canada,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-11-16,male
540173,West Indies,Australia,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet",St Lucia,2012-03-27,male
1283038,Swaziland,Rwanda,Rwanda,Swaziland,bat,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-10-22,male
1034829,India,England,India,England,field,M Chinnaswamy Stadium,Bangalore,2017-02-01,male
356004,England,South Africa,South Africa,England,bat,Trent Bridge,Nottingham,2009-06-11,male
1237124,South Africa,England,England,South Africa,bat,Newlands,Cape Town,2020-12-01,male
1286685,Argentina,Canada,Canada,Argentina,bat,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,2021-11-13,male
1199525,Netherlands,Papua New Guinea,Papua New Guinea,Netherlands,bat,ICC Academy,Dubai,2019-10-24,male
1299570,Canada,Oman,Oman,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-19,male
1490875,South Korea,Indonesia,Indonesia,South Korea,bat,Udayana Cricket Ground,Bali,2025-07-09,male
1453911,Thailand,Bhutan,Thailand,Bhutan,field,Gelephu International Cricket Ground,Gelephu,2024-10-19,male
1343783,Ghana,Sierra Leone,Sierra Leone,Sierra Leone,field,Integrated Polytechnic Regional Centre,Kigali City,2022-12-05,male
1367726,Portugal,Malta,Portugal,Malta,field,Europa Sports Complex,Gibraltar,2023-05-04,male
1513094,Nigeria,Zambia,Nigeria,Zambia,field,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,2025-12-08,male
1251576,Pakistan,South Africa,South Africa,Pakistan,bat,"The Wanderers Stadium, Johannesburg",Johannesburg,2021-04-12,male
1408105,Zimbabwe,Ireland,Ireland,Ireland,field,Harare Sports Club,Harare,2023-12-10,male
1495661,Austria,Romania,,Romania,field,"GB Oval, Szodliget",Szodliget,2025-07-27,male
1397437,Bahrain,United Arab Emirates,Bahrain,Bahrain,bat,"West End Park International Cricket Stadium, Doha",Doha,2023-09-22,male
