match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1422043,Nepal,Netherlands,Netherlands,Nepal,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2024-03-05,male
1443550,Pakistan,New Zealand,New Zealand,New Zealand,field,"University Oval, Dunedin",Dunedin,2025-03-18,male
1426450,Oman,Namibia,Namibia,Namibia,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2024-04-01,male
1188621,India,West Indies,India,India,field,Central Broward Regional Park Stadium Turf Ground,Lauderhill,2019-08-03,male
540173,West Indies,Australia,Australia,West Indies,bat,"Beausejour Stadium, Gros Islet",St Lucia,2012-03-27,male
1034829,India,England,India,England,field,M Chinnaswamy Stadium,Bangalore,2017-02-01,male
356004,England,South Africa,South Africa,England,bat,Trent Bridge,Nottingham,2009-06-11,male
1237124,South Africa,England,England,South Africa,bat,Newlands,Cape Town,2020-12-01,male
1251576,Pakistan,South Africa,South Africa,Pakistan,bat,"The Wanderers Stadium, Johannesburg",Johannesburg,2021-04-12,male
1408105,Zimbabwe,Ireland,Ireland,Ireland,field,Harare Sports Club,Harare,2023-12-10,male
1415737,Bangladesh,Nepal,Bangladesh,Nepal,field,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,2024-06-16,male
1472523,West Indies,Australia,Australia,Australia,field,"Warner Park, Basseterre, St Kitts",Basseterre,2025-07-26,male
1506015,Ireland,Bangladesh,Bangladesh,Ireland,bat,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,2025-11-29,male
1336050,New Zealand,England,New Zealand,New Zealand,bat,"Edgbaston, Birmingham",Birmingham,2023-09-03,male
423787,New Zealand,Australia,Australia,New Zealand,bat,Westpac Stadium,Wellington,2010-02-26,male
1272095,New Zealand,Bangladesh,New Zealand,New Zealand,bat,"Shere Bangla National Stadium, Mirpur",Dhaka,2021-09-05,male
1426554,Pakistan,Australia,Australia,Pakistan,bat,"Bellerive Oval, Hobart",Hobart,2024-11-18,male
1415721,South Africa,Bangladesh,South Africa,South Africa,bat,"Nassau County International Cricket Stadium, New York",New York,2024-06-10,male
523735,Zimbabwe,Pakistan,Pakistan,Zimbabwe,field,Harare Sports Club,,2011-09-16,male
287854,Kenya,New Zealand,New Zealand,New Zealand,field,Kingsmead,Durban,2007-09-12,male
1157377,Pakistan,New Zealand,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,,2018-11-04,male
1115807,Pakistan,New Zealand,New Zealand,New Zealand,field,Westpac Stadium,Wellington,2018-01-22,male
1233960,Pakistan,New Zealand,New Zealand,Pakistan,bat,Seddon Park,Hamilton,2020-12-20,male
1303308,India,Ireland,India,India,bat,"The Village, Malahide, Dublin",Dublin,2022-06-28,male
1491726,West Indies,New Zealand,,New Zealand,field,"Saxton Oval, Nelson",Nelson,2025-11-10,male
951363,India,Australia,India,Australia,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-03-27,male
582186,Sri Lanka,New Zealand,,Sri Lanka,field,Pallekele International Cricket Stadium,,2012-10-30,male
211028,England,Australia,England,England,bat,The Rose Bowl,Southampton,2005-06-13,male
1263153,South Africa,West Indies,South Africa,West Indies,field,"National Cricket Stadium, St George's, Grenada",St George's,2021-06-29,male
533298,Sri Lanka,West Indies,West Indies,West Indies,bat,R Premadasa Stadium,Colombo,2012-10-07,male
636165,Australia,England,Australia,England,bat,Melbourne Cricket Ground,,2014-01-31,male
356012,Ireland,Pakistan,Pakistan,Pakistan,bat,Kennington Oval,London,2009-06-15,male
1424752,Zimbabwe,Namibia,Zimbabwe,Zimbabwe,bat,"Achimota Senior Secondary School A Field, Accra",Accra,2024-03-17,male
1485509,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,field,Rangiri Dambulla International Stadium,Dambulla,2025-07-13,male
1233464,Zimbabwe,Pakistan,Pakistan,Zimbabwe,bat,Rawalpindi Cricket Stadium,,2020-11-07,male
